county,year,total_enrollees,population,per_capita_enrollment,minimum_wage
Santa Clara,2017,0,1932510,0,10.5
Santa Clara,2018,1586470,1932337,0.8210110348246709,11
Santa Clara,2019,3688025,1927852,1.913022887649052,12
Santa Clara,2020,3775172,1924802,1.9613300484932996,12
Santa Clara,2021,4157994,1878320,2.213677115720431,13
Santa Clara,2022,4564212,1883653,2.4230641206209422,14
Santa Clara,2023,5100873,1897137,2.688721478733481,15.5
Santa Clara,2024,5239584,1926325,2.719989617535982,16
Santa Cruz,2016,841008,274396,3.0649426376477793,10
Santa Cruz,2017,834570,274856,3.036389964199435,10.5
Santa Cruz,2018,816536,273841,2.981788702203103,11
Santa Cruz,2019,789306,273213,2.888976732439525,12
Santa Cruz,2020,810576,271768,2.982602808277649,12
Santa Cruz,2021,885191,260904,3.3927843191365405,13
Santa Cruz,2022,935015,265851,3.5170640697232662,14
Santa Cruz,2023,966418,263699,3.66485272981695,15.5
Santa Cruz,2024,953601,262406,3.634067056393528,16
Shasta,2016,734605,178571,4.113797873114896,10
Shasta,2017,720628,179384,4.017236765820809,10.5
Shasta,2018,716351,179709,3.986172089322182,11
Shasta,2019,708044,180080,3.931830297645491,12
Shasta,2020,721480,182190,3.960041714693452,12
Shasta,2021,789682,182243,4.333126649583249,13
Shasta,2022,833796,180972,4.60732046946489,14
Shasta,2023,872612,180656,4.8302408998317246,15.5
Shasta,2024,821303,181121,4.534554248264972,16
Sierra,2016,6836,2951,2.316502880379532,10
Sierra,2017,7331,3002,2.4420386409060626,10.5
Sierra,2018,7119,2997,2.3753753753753752,11
Sierra,2019,6874,3005,2.287520798668885,12
Sierra,2020,6938,3229,2.1486528336946424,12
Sierra,2021,7224,3298,2.1904184354154035,13
Sierra,2022,7738,3215,2.4068429237947124,14
Sierra,2023,9218,3180,2.89874213836478,15.5
Sierra,2024,10400,3113,3.3408287825248957,16
Siskiyou,2016,206996,43376,4.772132054592402,10
Siskiyou,2017,212293,43622,4.866649855577461,10.5
Siskiyou,2018,211153,43550,4.848518943742825,11
Siskiyou,2019,206032,43539,4.732125221066171,12
Siskiyou,2020,205499,43999,4.670537966771972,12
Siskiyou,2021,222759,44144,5.046189742660384,13
Siskiyou,2022,230447,43746,5.267841631234856,14
Siskiyou,2023,235337,42941,5.48047320742414,15.5
Siskiyou,2024,218743,42498,5.147136335827568,16
Solano,2016,1362021,438858,3.103557414926924,10
Solano,2017,1341673,443511,3.0251177535619185,10.5
Solano,2018,1310557,445725,2.9402815637444615,11
Solano,2019,1280214,447643,2.859899518142806,12
Solano,2020,1309839,452887,2.892198274624796,12
Solano,2021,1458697,450819,3.235659987711254,13
Solano,2022,1588279,449724,3.531674982878388,14
Solano,2023,1678802,451060,3.7219039595619208,15.5
Solano,2024,1683296,455101,3.69873061144669,16
Sonoma,2016,1350300,502547,2.686912865861302,10
Sonoma,2017,1360583,502469,2.7077949087406386,10.5
Sonoma,2018,1304178,498643,2.6154543430871384,11
Sonoma,2019,1256881,494336,2.5425641668824444,12
Sonoma,2020,1264702,488501,2.5889445466846537,12
Sonoma,2021,1401118,484561,2.8915203658569304,13
Sonoma,2022,1513209,483398,3.1303584210112576,14
Sonoma,2023,1597198,483366,3.304324259463843,15.5
Sonoma,2024,1633009,485375,3.364427504506825,16
Stanislaus,2016,0,539255,0,10
Stanislaus,2017,0,544717,0,10.5
Stanislaus,2018,976099,548126,1.780793102315891,11
Stanislaus,2019,2297967,550660,4.173114081284277,12
Stanislaus,2020,2338250,553710,4.222878402051616,12
Stanislaus,2021,2502016,552939,4.524940364126965,13
Stanislaus,2022,2684252,552410,4.859166199018845,14
Stanislaus,2023,2973524,553921,5.368137333663103,15.5
Stanislaus,2024,2940717,556972,5.279829147605265,16
Sutter,2016,391761,95742,4.091840571536003,10
Sutter,2017,394666,96204,4.102386595151969,10.5
Sutter,2018,382284,96348,3.967741935483871,11
Sutter,2019,379490,96971,3.913438038176362,12
Sutter,2020,388102,99479,3.901346012726304,12
Sutter,2021,422167,99121,4.259107555412072,13
Sutter,2022,455179,98682,4.61258385521169,14
Sutter,2023,512916,98457,5.2095432523842895,15.5
Sutter,2024,523939,98545,5.3167486934902835,16
Tehama,2016,246816,63453,3.889745165713205,10
Tehama,2017,247233,63847,3.8722727771077734,10.5
Tehama,2018,242796,64018,3.7926208253928584,11
Tehama,2019,237590,65084,3.650513182963554,12
