county,fips,longitude,latitude,consortium,year,elderly calfresh,age 18-59 calfresh,children calfresh,esl calfresh,wic recipients reachable,pct receiving wic,total population,elderly population,children population,esl population,ssi recipients,total_calfresh,calfresh_per_capita,unnamed: 0,countyfip,pct_foodstmp,median_income,count
stanislaus,US-06099,-120.8981857,37.606095,C-IV,2019,7756,34892,32563,13627.0,,,558395,101956,149638,47927.0,18536.916666666668,75211,0.13469139229398544,207,99,0.874255319148936,77500.0,4700
tulare,US-06107,-119.0889841,36.266965,CalWIN,2019,8320,47695,58133,34298.0,,,479924,80309,141302,59409.0,17519.25,114148,0.23784599228211134,208,107,0.74807268722467,68500.0,3632
ventura,US-06111,-119.0838699,34.47326,CalWIN,2019,8138,26879,29441,20132.0,,,853747,191306,197106,75556.0,14271.5,64458,0.07550011888767984,209,111,0.917366946778711,114000.0,8568
yolo,US-06113,-121.9008022,38.619495,CalWIN,2019,2196,10300,6636,3874.0,,,222868,39146,48055,12635.0,4828.166666666667,19132,0.08584453577902615,210,113,0.914992993928071,106300.0,2141
alameda,US-06001,-121.7871814,37.680185,CalWIN,2020,29838,65823,45256,40802.0,,,1671855,378012,368330,119494.0,42689.5,140917,0.084287812041116,212,1,0.927167474421109,154150.0,14856
butte,US-06007,-121.5660076,39.723785,C-IV,2020,4171,17442,9119,2048.0,,,206362,57085,44417,5615.0,9056.25,30732,0.14892276678845912,213,7,0.832931242460796,81000.0,1658
contra costa,US-06013,-121.717604,37.888418,CalWIN,2020,12158,34375,30548,15192.0,,,1149800,285665,246929,65454.0,22389.33333333333,77081,0.06703861541137589,214,13,0.932060781112646,144000.0,7963
el dorado,US-06017,-120.4259625,38.78496,C-IV,2020,2006,6854,3678,629.0,,,192012,61293,34198,2722.0,2626.6666666666665,12538,0.06529800220819532,215,17,0.949635520212061,116000.0,1509
fresno,US-06019,-120.862059,36.74633,CalWIN,2020,19897,94085,102953,46036.0,,,1026358,191583,277331,99823.0,40940.91666666666,216935,0.2113638710859174,216,19,0.791408450704225,80000.0,7100
humboldt,US-06023,-123.959972,40.73356,C-IV,2020,3328,13591,6422,752.0,,,132706,36874,27642,1942.0,4829.833333333333,23341,0.17588503910900788,217,23,0.827338129496403,76100.0,1112
imperial,US-06025,-115.058652,33.02615,C-IV,2020,6187,17997,16697,20237.0,,,188090,37904,51592,32870.0,9568.25,40881,0.21734807804774312,218,25,0.761545711592837,72000.0,1061
kern,US-06029,-118.4426011,35.29441,C-IV,2020,16641,74124,80619,32290.0,,,912975,156344,252034,82813.0,31163.25,171384,0.18772036474164133,219,29,0.808990760483298,76100.0,5628
kings,US-06031,-119.6135104,36.138775,C-IV,2020,2301,11463,11686,4823.0,,,154745,26522,42183,14598.0,4566.25,25450,0.16446411838831626,220,31,0.869300911854103,108500.0,1316
los angeles,US-06037,-117.9879672,34.26394,LRS,2020,272684,621516,511550,457367.0,,,10171593,2198362,2307784,1215442.0,353975.4166666667,1405750,0.13820352426606136,221,37,0.86593248147964,100000.0,80452
madera,US-06039,-119.84174,37.27052,C-IV,2020,2369,11385,15822,8823.0,,,158794,32618,41512,18287.0,4302.333333333333,29576,0.1862538886859705,222,39,0.781411359724613,88800.0,1162
marin,US-06041,-122.870429,38.068145,C-IV,2020,2869,5800,4672,4227.0,,,258956,88540,48131,8984.0,2463.25,13341,0.05151840467106381,223,41,0.967837704106878,192700.0,2021
merced,US-06047,-120.1246993,37.18687,C-IV,2020,5118,23439,25069,12445.0,,,284761,48349,78384,33758.0,10218.416666666666,53626,0.18831932743599017,224,47,0.77311320754717,70900.0,2120
napa,US-06055,-122.5128064,38.509635,C-IV,2020,1304,2909,2945,2424.0,,,138711,38075,27541,9612.0,1823.75,7158,0.05160369401128966,225,55,0.945578231292517,128000.0,1323
orange,US-06059,-117.8002615,33.66707,CalWIN,2020,47911,92330,94478,90479.0,,,3190832,722335,720052,279331.0,66663.08333333333,234719,0.07356043815531497,226,59,0.916783159279664,124520.0,24322
placer,US-06061,-120.7858989,39.013999,CalWIN,2020,3079,6973,4867,1593.0,,,397469,107552,79559,6094.0,5204.0,14919,0.037535002729772636,227,61,0.964339679661529,125000.0,3309
riverside,US-06065,-115.0250859,33.752845,C-IV,2020,33748,123750,115698,46646.0,,,2449299,525623,587182,182640.0,58500.333333333336,273196,0.11154048566549041,228,65,0.881677261068362,93300.0,17934
sacramento,US-06067,-121.1505311,38.383079,CalWIN,2020,32285,108309,86577,49827.0,,,1562242,333014,373538,89534.0,58904.5,227171,0.14541345066897446,229,67,0.846751123825092,97000.0,12235
san bernardino,US-06071,-116.6760973,34.840011,C-IV,2020,37729,157854,152876,49763.0,,,2184112,397804,564740,153812.0,65995.5,348459,0.1595426425018497,230,71,0.833624973752362,85500.0,14287
san diego,US-06073,-116.693716,33.019645,CalWIN,2020,58030,165163,121097,101473.0,,,3352145,698918,807046,200324.0,72003.66666666667,344290,0.10270737095203221,231,73,0.914933996879086,116000.0,23711
san francisco,US-06075,-122.4847727,37.759845,CalWIN,2020,32194,31035,15664,36602.0,,,899891,219925,149146,91297.0,33746.75,78893,0.08766950664024865,232,75,0.906676783004552,170600.0,6590
san joaquin,US-06077,-120.9449271,37.889845,C-IV,2020,12960,44408,44484,17718.0,,,776068,149849,197596,60993.0,25040.25,101852,0.1312410768128566,233,77,0.809490579204466,91000.0,5732
san luis obispo,US-06079,-120.1080592,35.34633,CalWIN,2020,2770,8591,6130,2645.0,,,276151,79764,47577,7485.0,3597.6666666666665,17491,0.06333853580106535,234,79,0.954789615040286,105000.0,2234
san mateo,US-06081,-122.2406398,37.407705,CalWIN,2020,6240,10644,11207,10850.0,,,775132,201889,169953,49933.0,8733.083333333334,28091,0.036240279075047864,235,81,0.955569969190855,185000.0,6167
santa barbara,US-06083,-120.0351675,34.743715,CalWIN,2020,5211,20043,19757,14309.0,,,451329,97951,103140,44724.0,7421.833333333333,45011,0.09972990878051266,236,83,0.917850181008076,117000.0,3591
santa clara,US-06085,-121.6161794,37.18939,CalWIN,2020,27168,38652,34469,41385.0,,,1962251,423276,455912,158711.0,38438.0,100289,0.051109159837350066,237,85,0.951267521622428,175000.0,16765
santa cruz,US-06087,-122.0401593,37.06834,CalWIN,2020,4020,13144,9811,7711.0,,,270067,67776,54285,17443.0,4403.333333333333,26975,0.09988262171979546,238,87,0.899663946231397,151000.0,2083
shasta,US-06089,-122.0883555,40.735175,C-IV,2020,3769,13921,7857,453.0,,,177692,51672,37836,1747.0,8292.333333333334,25547,0.1437712446255318,239,89,0.860131500298864,84300.0,1673
solano,US-06095,-121.6688337,38.2894915,CalWIN,2020,6392,22326,16564,6070.0,,,440198,106542,98915,19940.0,10288.0,45282,0.1028673460579103,240,95,0.890488286762631,114000.0,3543
sonoma,US-06097,-122.7518161,38.481733,CalWIN,2020,5992,14443,11807,7331.0,,,491134,141632,94488,25700.0,7270.0,32242,0.0656480716057125,241,97,0.942616679418516,116400.0,3921
stanislaus,US-06099,-120.8981857,37.606095,C-IV,2020,10093,34907,30427,13701.0,,,555955,110821,142535,45979.0,18066.75,75427,0.135671052513243,242,99,0.82421451787649,75855.0,3692
tulare,US-06107,-119.0889841,36.266965,CalWIN,2020,10636,48974,56182,33043.0,,,480788,82703,139232,57319.0,17481.75,115792,0.24083795768613192,243,107,0.733137829912023,72000.0,3069
ventura,US-06111,-119.0838699,34.47326,CalWIN,2020,10168,28357,29087,20929.0,,,841439,202071,193294,71885.0,14148.416666666666,67612,0.08035282415005722,244,111,0.924755455229496,118900.0,6645
yolo,US-06113,-121.9008022,38.619495,CalWIN,2020,2882,12157,6648,4379.0,,,221718,43485,45923,12433.0,4691.166666666667,21687,0.09781343869239303,245,113,0.885021752641392,115500.0,1609
