County,FIPS,Longitude,Latitude,Consortium,Year,Elderly CalFresh,Age 18-59 CalFresh,Children CalFresh,ESL CalFresh,WIC Recipients Reachable,Pct Receiving WIC,Total Population,Elderly Population,Children Population,ESL Population,SSI Recipients
Sonoma,US-06097,-122.7518161,38.481733,CalWIN,2014,2785,15991,17385,10614.0,,,497908,120571,101026,25983.0,8488.0
Stanislaus,US-06099,-120.8981857,37.606095,C-IV,2014,3532,44033,46379,18159.0,,,531720,89493,144174,48829.0,20165.0
Sutter,US-06101,-121.714735,39.02038,C-IV,2014,432,6090,6723,2403.0,,,97101,18516,25359,8544.0,3793.0
Tehama,US-06103,-122.6595518,40.125305,C-IV,2014,446,5518,5300,1291.0,,,63845,15194,15479,2345.0,3106.0
Trinity,US-06105,-123.5069171,40.672495,C-IV,2014,110,1145,639,,,,13613,4741,2249,49.0,656.0
Tulare,US-06107,-119.0889841,36.266965,CalWIN,2014,4540,50844,67798,39775.0,,,459831,68978,144183,63244.0,17865.0
Tuolumne,US-06109,-120.0954221,38.03354,C-IV,2014,371,3195,2080,75.0,,,54683,17898,9070,628.0,1639.0
Ventura,US-06111,-119.0838699,34.47326,CalWIN,2014,4506,30346,38414,26383.0,,,847885,162970,203510,75693.0,14875.0
Yolo,US-06113,-121.9008022,38.619495,CalWIN,2014,1000,9126,8677,5091.0,,,209834,33974,46905,11918.0,5314.0
Yuba,US-06115,-121.499162,39.278915,C-IV,2014,390,6695,6511,1543.0,,,74975,12253,21478,4010.0,3734.0
Statewide,,,,,2015,247589,2045672,2293850,1348582.0,,,39059809,7399216,9204564,3780285.0,1187073.0
Alameda,US-06001,-121.7871814,37.680185,CalWIN,2015,9811,58380,59282,40056.0,,,1619679,304508,344053,136922.0,47331.0
Alpine,US-06003,-120.0354892,38.6301005,C-IV,2015,14,107,59,0.0,,,1157,373,217,13.0,39.0
Amador,US-06005,-120.238969,38.46328,C-IV,2015,268,1979,1298,109.0,,,37314,12900,5814,411.0,688.0
Butte,US-06007,-121.5660076,39.723785,C-IV,2015,1688,18237,13292,2552.0,,,224363,54238,45626,5020.0,10733.0
Calaveras,US-06009,-120.6039732,38.1711345,C-IV,2015,522,3130,1914,128.0,,,44899,16053,7567,331.0,1057.0
Colusa,US-06011,-122.4386143,39.169245,C-IV,2015,91,623,890,462.0,,,22271,4316,6137,2864.0,561.0
Contra Costa,US-06013,-121.717604,37.888418,CalWIN,2015,4266,33201,36931,16309.0,,,1116882,237699,252327,74992.0,24238.0
Del Norte,US-06015,-123.719458,41.6908155,C-IV,2015,215,2807,2197,215.0,,,27119,6419,5776,654.0,1797.0
El Dorado,US-06017,-120.4259625,38.78496,C-IV,2015,1017,7646,5113,870.0,,,183140,49149,37127,3365.0,2871.0
Fresno,US-06019,-120.862059,36.74633,CalWIN,2015,7766,104163,127914,61125.0,,,979357,158226,279388,107436.0,41165.0
Glenn,US-06021,-122.1147288,39.591764,C-IV,2015,146,1667,1990,735.0,,,28960,6024,7599,2525.0,1106.0
Humboldt,US-06023,-123.959972,40.73356,C-IV,2015,1252,12427,7848,931.0,,,135090,31797,27497,2396.0,5488.0
Imperial,US-06025,-115.058652,33.02615,C-IV,2015,2416,20726,21617,23414.0,,,185328,30862,53999,33949.0,10128.0
Inyo,US-06027,-117.7797286,36.626,C-IV,2015,148,1058,911,266.0,,,18640,5554,3865,495.0,394.0
Kern,US-06029,-118.4426011,35.29441,C-IV,2015,5815,69041,89787,38114.0,,,883327,132102,254777,87761.0,31341.0
Kings,US-06031,-119.6135104,36.138775,C-IV,2015,890,11318,13206,5889.0,,,149702,20873,45340,13818.0,4579.0
Lake,US-06033,-122.9624445,39.124455,C-IV,2015,851,6551,4973,893.0,,,65180,18831,13497,2109.0,3675.0
Lassen,US-06035,-120.2636913,40.446085,C-IV,2015,143,1734,1425,61.0,,,30969,6731,5429,650.0,883.0
Los Angeles,US-06037,-117.9879672,34.26394,LRS,2015,60495,522881,612716,434702.0,,,10185487,1846906,2319368,1352159.0,386663.0
Madera,US-06039,-119.84174,37.27052,C-IV,2015,853,11501,17828,10136.0,,,154956,28618,42496,20134.0,4530.0
Marin,US-06041,-122.870429,38.068145,C-IV,2015,1245,4845,5016,4041.0,,,262105,73899,52796,11168.0,2913.0
Mariposa,US-06043,-119.6495595,37.543615,C-IV,2015,198,1196,786,41.0,,,18088,6333,2918,233.0,451.0
Mendocino,US-06045,-123.5709822,39.380655,C-IV,2015,892,7158,5661,1813.0,,,88429,24106,19113,4327.0,3087.0
Merced,US-06047,-120.1246993,37.18687,C-IV,2015,2053,25525,32648,15791.0,,,269729,40359,79613,36937.0,10774.0
Modoc,US-06049,-120.1993372,41.590546,C-IV,2015,45,497,443,39.0,,,9507,3069,1828,308.0,419.0
Mono,US-06051,-118.7402371,38.0878955,C-IV,2015,50,470,351,212.0,,,13818,2647,2862,1021.0,99.0
Monterey,US-06053,-120.9044897,36.35433,C-IV,2015,2416,18095,31750,23373.0,,,436242,77866,113520,80174.0,8376.0
Napa,US-06055,-122.5128064,38.509635,C-IV,2015,441,3134,4130,2947.0,,,141546,33624,30174,11332.0,2093.0
Nevada,US-06057,-120.3163119,39.266135,C-IV,2015,662,4452,2895,280.0,,,98190,33078,16697,1252.0,1806.0
Orange,US-06059,-117.8002615,33.66707,CalWIN,2015,18936,102424,141215,117427.0,,,3161218,604466,728580,331979.0,68296.0
Placer,US-06061,-120.7858989,39.013999,CalWIN,2015,1517,9273,7520,1899.0,,,370738,92963,78707,9998.0,5127.0
Plumas,US-06063,-121.1037321,40.0234855,C-IV,2015,131,1157,769,39.0,,,19586,7101,3236,197.0,656.0
Riverside,US-06065,-115.0250859,33.752845,C-IV,2015,14635,135095,154733,66547.0,,,2329256,437865,599727,190180.0,58059.0
Sacramento,US-06067,-121.1505311,38.383079,CalWIN,2015,9586,111012,104370,48606.0,,,1489952,274958,360331,93427.0,62730.0
