Year,FIPS,Race,AgeGroup,Population
2011,6009,White NH,0–18,6786
2011,6009,White NH,19–34,4651
2011,6009,White NH,35–64,17254
2011,6009,White NH,65+,9086
2011,6011,AIAN NH,0–18,110
2011,6011,AIAN NH,19–34,45
2011,6011,AIAN NH,35–64,110
2011,6011,AIAN NH,65+,31
2011,6011,Asian NH,0–18,56
2011,6011,Asian NH,19–34,47
2011,6011,Asian NH,35–64,113
2011,6011,Asian NH,65+,54
2011,6011,Black NH,0–18,49
2011,6011,Black NH,19–34,30
2011,6011,Black NH,35–64,57
2011,6011,Black NH,65+,31
2011,6011,Hispanic,0–18,4661
2011,6011,Hispanic,19–34,2957
2011,6011,Hispanic,35–64,3718
2011,6011,Hispanic,65+,592
2011,6011,MR NH,0–18,107
2011,6011,MR NH,19–34,54
2011,6011,MR NH,35–64,83
2011,6011,MR NH,65+,18
2011,6011,NHPI NH,0–18,8
2011,6011,NHPI NH,19–34,14
2011,6011,NHPI NH,35–64,31
2011,6011,NHPI NH,65+,7
2011,6011,White NH,0–18,1628
2011,6011,White NH,19–34,1243
2011,6011,White NH,35–64,3697
2011,6011,White NH,65+,1805
2011,6013,AIAN NH,0–18,630
2011,6013,AIAN NH,19–34,637
2011,6013,AIAN NH,35–64,1478
2011,6013,AIAN NH,65+,335
2011,6013,Asian NH,0–18,36318
2011,6013,Asian NH,19–34,30613
2011,6013,Asian NH,35–64,74788
2011,6013,Asian NH,65+,18477
2011,6013,Black NH,0–18,26125
2011,6013,Black NH,19–34,20709
2011,6013,Black NH,35–64,39196
2011,6013,Black NH,65+,9807
2011,6013,Hispanic,0–18,94261
2011,6013,Hispanic,19–34,68497
2011,6013,Hispanic,35–64,86571
2011,6013,Hispanic,65+,13590
2011,6013,MR NH,0–18,20404
2011,6013,MR NH,19–34,8458
2011,6013,MR NH,35–64,10417
2011,6013,MR NH,65+,1765
2011,6013,NHPI NH,0–18,1271
2011,6013,NHPI NH,19–34,1196
2011,6013,NHPI NH,35–64,1941
2011,6013,NHPI NH,65+,333
2011,6013,White NH,0–18,97953
2011,6013,White NH,19–34,75249
2011,6013,White NH,35–64,235750
2011,6013,White NH,65+,91561
2011,6015,AIAN NH,0–18,665
2011,6015,AIAN NH,19–34,445
2011,6015,AIAN NH,35–64,656
2011,6015,AIAN NH,65+,184
2011,6015,Asian NH,0–18,386
2011,6015,Asian NH,19–34,199
2011,6015,Asian NH,35–64,297
2011,6015,Asian NH,65+,63
2011,6015,Black NH,0–18,30
2011,6015,Black NH,19–34,446
2011,6015,Black NH,35–64,542
2011,6015,Black NH,65+,13
2011,6015,Hispanic,0–18,1421
2011,6015,Hispanic,19–34,1648
2011,6015,Hispanic,35–64,1895
2011,6015,Hispanic,65+,143
2011,6015,MR NH,0–18,441
2011,6015,MR NH,19–34,194
2011,6015,MR NH,35–64,279
2011,6015,MR NH,65+,75
2011,6015,NHPI NH,0–18,1
2011,6015,NHPI NH,19–34,7
2011,6015,NHPI NH,35–64,15
2011,6015,NHPI NH,65+,4
2011,6015,White NH,0–18,3458
2011,6015,White NH,19–34,3182
2011,6015,White NH,35–64,8113
2011,6015,White NH,65+,3459
2011,6017,AIAN NH,0–18,363
2011,6017,AIAN NH,19–34,322
2011,6017,AIAN NH,35–64,716
2011,6017,AIAN NH,65+,179
2011,6017,Asian NH,0–18,1571
2011,6017,Asian NH,19–34,919
2011,6017,Asian NH,35–64,3154
2011,6017,Asian NH,65+,679
2011,6017,Black NH,0–18,341
2011,6017,Black NH,19–34,242
2011,6017,Black NH,35–64,568
2011,6017,Black NH,65+,172
2011,6017,Hispanic,0–18,8752
2011,6017,Hispanic,19–34,5129
2011,6017,Hispanic,35–64,7732
2011,6017,Hispanic,65+,1411
2011,6017,MR NH,0–18,2153
2011,6017,MR NH,19–34,922
2011,6017,MR NH,35–64,1581
2011,6017,MR NH,65+,335
2011,6017,NHPI NH,0–18,57
2011,6017,NHPI NH,19–34,61
2011,6017,NHPI NH,35–64,125
2011,6017,NHPI NH,65+,24
2011,6017,White NH,0–18,29854
2011,6017,White NH,19–34,20733
2011,6017,White NH,35–64,67635
2011,6017,White NH,65+,25102
2011,6019,AIAN NH,0–18,1678
2011,6019,AIAN NH,19–34,1341
2011,6019,AIAN NH,35–64,2517
2011,6019,AIAN NH,65+,617
2011,6019,Asian NH,0–18,28291
2011,6019,Asian NH,19–34,24676
2011,6019,Asian NH,35–64,28952
2011,6019,Asian NH,65+,7972
2011,6019,Black NH,0–18,14278
2011,6019,Black NH,19–34,11437
2011,6019,Black NH,35–64,15726
2011,6019,Black NH,65+,3529
2011,6019,Hispanic,0–18,185557
2011,6019,Hispanic,19–34,128043
2011,6019,Hispanic,35–64,143802
2011,6019,Hispanic,65+,26080
2011,6019,MR NH,0–18,7812
2011,6019,MR NH,19–34,3878
2011,6019,MR NH,35–64,4003
2011,6019,MR NH,65+,967
2011,6019,NHPI NH,0–18,307
2011,6019,NHPI NH,19–34,350
2011,6019,NHPI NH,35–64,403
2011,6019,NHPI NH,65+,74
2011,6019,White NH,0–18,58212
2011,6019,White NH,19–34,59115
2011,6019,White NH,35–64,126282
2011,6019,White NH,65+,55894
2011,6021,AIAN NH,0–18,145
2011,6021,AIAN NH,19–34,105
2011,6021,AIAN NH,35–64,183
2011,6021,AIAN NH,65+,52
2011,6021,Asian NH,0–18,204
2011,6021,Asian NH,19–34,183
2011,6021,Asian NH,35–64,235
2011,6021,Asian NH,65+,65
2011,6021,Black NH,0–18,54
2011,6021,Black NH,19–34,49
2011,6021,Black NH,35–64,73
2011,6021,Black NH,65+,17
2011,6021,Hispanic,0–18,4217
2011,6021,Hispanic,19–34,2817
2011,6021,Hispanic,35–64,3223
2011,6021,Hispanic,65+,522
2011,6021,MR NH,0–18,209
2011,6021,MR NH,19–34,96
2011,6021,MR NH,35–64,124
2011,6021,MR NH,65+,35
2011,6021,NHPI NH,0–18,5
2011,6021,NHPI NH,19–34,6
2011,6021,NHPI NH,35–64,7
2011,6021,NHPI NH,65+,4
2011,6021,White NH,0–18,3414
2011,6021,White NH,19–34,2503
2011,6021,White NH,35–64,6579
2011,6021,White NH,65+,3093
2011,6023,AIAN NH,0–18,2316
2011,6023,AIAN NH,19–34,1771
2011,6023,AIAN NH,35–64,2408
2011,6023,AIAN NH,65+,618
2011,6023,Asian NH,0–18,814
2011,6023,Asian NH,19–34,908
2011,6023,Asian NH,35–64,1005
2011,6023,Asian NH,65+,221
2011,6023,Black NH,0–18,279
2011,6023,Black NH,19–34,608
2011,6023,Black NH,35–64,467
2011,6023,Black NH,65+,90
2011,6023,Hispanic,0–18,5297
2011,6023,Hispanic,19–34,5147
2011,6023,Hispanic,35–64,3973
2011,6023,Hispanic,65+,669
2011,6023,MR NH,0–18,2384
2011,6023,MR NH,19–34,1732
2011,6023,MR NH,35–64,1624
2011,6023,MR NH,65+,372
2011,6023,NHPI NH,0–18,96
2011,6023,NHPI NH,19–34,127
2011,6023,NHPI NH,35–64,100
2011,6023,NHPI NH,65+,17
2011,6023,White NH,0–18,17977
2011,6023,White NH,19–34,25310
2011,6023,White NH,35–64,43175
2011,6023,White NH,65+,16305
2011,6025,AIAN NH,0–18,523
2011,6025,AIAN NH,19–34,367
2011,6025,AIAN NH,35–64,604
2011,6025,AIAN NH,65+,181
2011,6025,Asian NH,0–18,490
2011,6025,Asian NH,19–34,400
2011,6025,Asian NH,35–64,1088
2011,6025,Asian NH,65+,320
2011,6025,Black NH,0–18,520
2011,6025,Black NH,19–34,1898
2011,6025,Black NH,35–64,2367
2011,6025,Black NH,65+,284
2011,6025,Hispanic,0–18,48481
2011,6025,Hispanic,19–34,33932
2011,6025,Hispanic,35–64,47914
2011,6025,Hispanic,65+,12815
2011,6025,MR NH,0–18,402
2011,6025,MR NH,19–34,197
2011,6025,MR NH,35–64,326
2011,6025,MR NH,65+,113
2011,6025,NHPI NH,0–18,11
2011,6025,NHPI NH,19–34,43
2011,6025,NHPI NH,35–64,29
2011,6025,NHPI NH,65+,11
2011,6025,White NH,0–18,4055
2011,6025,White NH,19–34,4098
2011,6025,White NH,35–64,10327
2011,6025,White NH,65+,5076
2011,6027,AIAN NH,0–18,552
2011,6027,AIAN NH,19–34,459
2011,6027,AIAN NH,35–64,688
2011,6027,AIAN NH,65+,221
2011,6027,Asian NH,0–18,46
2011,6027,Asian NH,19–34,33
2011,6027,Asian NH,35–64,124
2011,6027,Asian NH,65+,36
2011,6027,Black NH,0–18,23
2011,6027,Black NH,19–34,34
2011,6027,Black NH,35–64,41
2011,6027,Black NH,65+,5
2011,6027,Hispanic,0–18,1476
2011,6027,Hispanic,19–34,845
2011,6027,Hispanic,35–64,1154
2011,6027,Hispanic,65+,234
2011,6027,MR NH,0–18,169
2011,6027,MR NH,19–34,83
2011,6027,MR NH,35–64,129
2011,6027,MR NH,65+,39
2011,6027,NHPI NH,0–18,2
2011,6027,NHPI NH,19–34,2
2011,6027,NHPI NH,35–64,11
2011,6027,NHPI NH,65+,0
2011,6027,White NH,0–18,1831
2011,6027,White NH,19–34,1658
2011,6027,White NH,35–64,5611
2011,6027,White NH,65+,3118
2011,6029,AIAN NH,0–18,1501
2011,6029,AIAN NH,19–34,1230
2011,6029,AIAN NH,35–64,2541
2011,6029,AIAN NH,65+,699
2011,6029,Asian NH,0–18,8648
2011,6029,Asian NH,19–34,7381
2011,6029,Asian NH,35–64,14876
2011,6029,Asian NH,65+,3679
2011,6029,Black NH,0–18,13754
2011,6029,Black NH,19–34,12861
2011,6029,Black NH,35–64,15968
2011,6029,Black NH,65+,3005
2011,6029,Hispanic,0–18,169746
2011,6029,Hispanic,19–34,116618
2011,6029,Hispanic,35–64,126091
2011,6029,Hispanic,65+,18116
2011,6029,MR NH,0–18,7470
2011,6029,MR NH,19–34,3580
2011,6029,MR NH,35–64,4128
2011,6029,MR NH,65+,1023
2011,6029,NHPI NH,0–18,283
2011,6029,NHPI NH,19–34,282
2011,6029,NHPI NH,35–64,405
2011,6029,NHPI NH,65+,63
2011,6029,White NH,0–18,69900
2011,6029,White NH,19–34,63242
2011,6029,White NH,35–64,132997
2011,6029,White NH,65+,50030
2011,6031,AIAN NH,0–18,392
2011,6031,AIAN NH,19–34,313
2011,6031,AIAN NH,35–64,523
2011,6031,AIAN NH,65+,94
2011,6031,Asian NH,0–18,1226
2011,6031,Asian NH,19–34,1279
2011,6031,Asian NH,35–64,2256
2011,6031,Asian NH,65+,584
2011,6031,Black NH,0–18,1697
2011,6031,Black NH,19–34,2879
2011,6031,Black NH,35–64,5095
2011,6031,Black NH,65+,483
2011,6031,Hispanic,0–18,28900
2011,6031,Hispanic,19–34,22559
2011,6031,Hispanic,35–64,24958
2011,6031,Hispanic,65+,3810
2011,6031,MR NH,0–18,1593
2011,6031,MR NH,19–34,832
2011,6031,MR NH,35–64,623
2011,6031,MR NH,65+,100
2011,6031,NHPI NH,0–18,54
2011,6031,NHPI NH,19–34,80
2011,6031,NHPI NH,35–64,80
2011,6031,NHPI NH,65+,19
2011,6031,White NH,0–18,10728
2011,6031,White NH,19–34,12691
2011,6031,White NH,35–64,20811
2011,6031,White NH,65+,6829
2011,6033,AIAN NH,0–18,475
2011,6033,AIAN NH,19–34,318
2011,6033,AIAN NH,35–64,635
2011,6033,AIAN NH,65+,168
2011,6033,Asian NH,0–18,121
2011,6033,Asian NH,19–34,139
2011,6033,Asian NH,35–64,362
2011,6033,Asian NH,65+,108
2011,6033,Black NH,0–18,206
2011,6033,Black NH,19–34,216
2011,6033,Black NH,35–64,475
2011,6033,Black NH,65+,300
2011,6033,Hispanic,0–18,4803
2011,6033,Hispanic,19–34,2880
2011,6033,Hispanic,35–64,3866
2011,6033,Hispanic,65+,796
2011,6033,MR NH,0–18,807
2011,6033,MR NH,19–34,412
2011,6033,MR NH,35–64,699
2011,6033,MR NH,65+,216
2011,6033,NHPI NH,0–18,20
2011,6033,NHPI NH,19–34,13
2011,6033,NHPI NH,35–64,56
2011,6033,NHPI NH,65+,13
2011,6033,White NH,0–18,8488
2011,6033,White NH,19–34,7122
2011,6033,White NH,35–64,22028
2011,6033,White NH,65+,10517
2011,6035,AIAN NH,0–18,230
2011,6035,AIAN NH,19–34,282
2011,6035,AIAN NH,35–64,403
2011,6035,AIAN NH,65+,84
2011,6035,Asian NH,0–18,55
2011,6035,Asian NH,19–34,104
2011,6035,Asian NH,35–64,153
2011,6035,Asian NH,65+,26
2011,6035,Black NH,0–18,74
2011,6035,Black NH,19–34,1405
2011,6035,Black NH,35–64,1375
2011,6035,Black NH,65+,42
2011,6035,Hispanic,0–18,1203
2011,6035,Hispanic,19–34,2985
2011,6035,Hispanic,35–64,2076
2011,6035,Hispanic,65+,222
2011,6035,MR NH,0–18,361
2011,6035,MR NH,19–34,164
2011,6035,MR NH,35–64,297
2011,6035,MR NH,65+,63
2011,6035,NHPI NH,0–18,42
2011,6035,NHPI NH,19–34,63
2011,6035,NHPI NH,35–64,50
2011,6035,NHPI NH,65+,9
2011,6035,White NH,0–18,4632
2011,6035,White NH,19–34,4603
2011,6035,White NH,35–64,10701
2011,6035,White NH,65+,3109
2011,6037,AIAN NH,0–18,3851
2011,6037,AIAN NH,19–34,4348
2011,6037,AIAN NH,35–64,9208
2011,6037,AIAN NH,65+,2477
2011,6037,Asian NH,0–18,246078
2011,6037,Asian NH,19–34,327580
2011,6037,Asian NH,35–64,611593
2011,6037,Asian NH,65+,192608
2011,6037,Black NH,0–18,199307
2011,6037,Black NH,19–34,188765
2011,6037,Black NH,35–64,343586
2011,6037,Black NH,65+,101727
2011,6037,Hispanic,0–18,1551478
2011,6037,Hispanic,19–34,1241748
2011,6037,Hispanic,35–64,1591923
2011,6037,Hispanic,65+,281629
2011,6037,MR NH,0–18,78068
2011,6037,MR NH,19–34,52431
2011,6037,MR NH,35–64,56125
2011,6037,MR NH,65+,13124
2011,6037,NHPI NH,0–18,6203
2011,6037,NHPI NH,19–34,6441
2011,6037,NHPI NH,35–64,8925
2011,6037,NHPI NH,65+,1847
2011,6037,White NH,0–18,437943
2011,6037,White NH,19–34,590567
2011,6037,White NH,35–64,1240436
2011,6037,White NH,65+,503845
2011,6039,AIAN NH,0–18,442
2011,6039,AIAN NH,19–34,367
2011,6039,AIAN NH,35–64,789
2011,6039,AIAN NH,65+,248
2011,6039,Asian NH,0–18,621
2011,6039,Asian NH,19–34,588
2011,6039,Asian NH,35–64,1094
2011,6039,Asian NH,65+,332
2011,6039,Black NH,0–18,818
2011,6039,Black NH,19–34,1383
2011,6039,Black NH,35–64,2491
2011,6039,Black NH,65+,490
2011,6039,Hispanic,0–18,32241
2011,6039,Hispanic,19–34,22481
2011,6039,Hispanic,35–64,24339
2011,6039,Hispanic,65+,4101
2011,6039,MR NH,0–18,911
2011,6039,MR NH,19–34,427
2011,6039,MR NH,35–64,723
2011,6039,MR NH,65+,255
2011,6039,NHPI NH,0–18,9
2011,6039,NHPI NH,19–34,36
2011,6039,NHPI NH,35–64,60
2011,6039,NHPI NH,65+,8
2011,6039,White NH,0–18,10375
2011,6039,White NH,19–34,8826
2011,6039,White NH,35–64,24755
2011,6039,White NH,65+,12128
2011,6041,AIAN NH,0–18,93
2011,6041,AIAN NH,19–34,114
2011,6041,AIAN NH,35–64,295
2011,6041,AIAN NH,65+,58
2011,6041,Asian NH,0–18,2706
2011,6041,Asian NH,19–34,2473
2011,6041,Asian NH,35–64,7148
2011,6041,Asian NH,65+,1841
2011,6041,Black NH,0–18,1160
2011,6041,Black NH,19–34,1599
2011,6041,Black NH,35–64,3532
2011,6041,Black NH,65+,571
2011,6041,Hispanic,0–18,12599
2011,6041,Hispanic,19–34,12332
2011,6041,Hispanic,35–64,13567
2011,6041,Hispanic,65+,1767
2011,6041,MR NH,0–18,3877
2011,6041,MR NH,19–34,1354
2011,6041,MR NH,35–64,2314
2011,6041,MR NH,65+,459
2011,6041,NHPI NH,0–18,82
2011,6041,NHPI NH,19–34,87
2011,6041,NHPI NH,35–64,238
2011,6041,NHPI NH,65+,50
2011,6041,White NH,0–18,35022
2011,6041,White NH,19–34,18866
2011,6041,White NH,35–64,91769
2011,6041,White NH,65+,39438
2011,6043,AIAN NH,0–18,100
2011,6043,AIAN NH,19–34,101
2011,6043,AIAN NH,35–64,192
2011,6043,AIAN NH,65+,78
2011,6043,Asian NH,0–18,31
2011,6043,Asian NH,19–34,37
2011,6043,Asian NH,35–64,104
2011,6043,Asian NH,65+,29
2011,6043,Black NH,0–18,17
2011,6043,Black NH,19–34,29
2011,6043,Black NH,35–64,69
2011,6043,Black NH,65+,14
2011,6043,Hispanic,0–18,564
2011,6043,Hispanic,19–34,358
2011,6043,Hispanic,35–64,607
2011,6043,Hispanic,65+,190
2011,6043,MR NH,0–18,162
2011,6043,MR NH,19–34,99
2011,6043,MR NH,35–64,201
2011,6043,MR NH,65+,94
2011,6043,NHPI NH,0–18,5
2011,6043,NHPI NH,19–34,4
2011,6043,NHPI NH,35–64,14
2011,6043,NHPI NH,65+,2
2011,6043,White NH,0–18,2494
2011,6043,White NH,19–34,2058
2011,6043,White NH,35–64,6936
2011,6043,White NH,65+,3568
2011,6045,AIAN NH,0–18,1112
2011,6045,AIAN NH,19–34,750
2011,6045,AIAN NH,35–64,1271
2011,6045,AIAN NH,65+,392
2011,6045,Asian NH,0–18,294
2011,6045,Asian NH,19–34,257
2011,6045,Asian NH,35–64,687
2011,6045,Asian NH,65+,205
2011,6045,Black NH,0–18,117
2011,6045,Black NH,19–34,155
2011,6045,Black NH,35–64,228
2011,6045,Black NH,65+,50
2011,6045,Hispanic,0–18,8138
2011,6045,Hispanic,19–34,5318
2011,6045,Hispanic,35–64,5971
2011,6045,Hispanic,65+,878
2011,6045,MR NH,0–18,982
2011,6045,MR NH,19–34,497
2011,6045,MR NH,35–64,789
2011,6045,MR NH,65+,172
2011,6045,NHPI NH,0–18,18
2011,6045,NHPI NH,19–34,25
2011,6045,NHPI NH,35–64,41
2011,6045,NHPI NH,65+,11
2011,6045,White NH,0–18,9944
2011,6045,White NH,19–34,9478
2011,6045,White NH,35–64,27501
2011,6045,White NH,65+,12545
2011,6047,AIAN NH,0–18,226
2011,6047,AIAN NH,19–34,277
2011,6047,AIAN NH,35–64,497
2011,6047,AIAN NH,65+,147
2011,6047,Asian NH,0–18,5919
2011,6047,Asian NH,19–34,5421
2011,6047,Asian NH,35–64,5633
2011,6047,Asian NH,65+,1573
2011,6047,Black NH,0–18,2393
2011,6047,Black NH,19–34,2111
2011,6047,Black NH,35–64,3334
2011,6047,Black NH,65+,1004
2011,6047,Hispanic,0–18,58631
2011,6047,Hispanic,19–34,37905
2011,6047,Hispanic,35–64,42974
2011,6047,Hispanic,65+,7474
2011,6047,MR NH,0–18,1906
2011,6047,MR NH,19–34,1034
2011,6047,MR NH,35–64,1164
2011,6047,MR NH,65+,236
2011,6047,NHPI NH,0–18,121
2011,6047,NHPI NH,19–34,163
2011,6047,NHPI NH,35–64,187
2011,6047,NHPI NH,65+,34
2011,6047,White NH,0–18,16985
2011,6047,White NH,19–34,15297
2011,6047,White NH,35–64,33003
2011,6047,White NH,65+,14051
2011,6049,AIAN NH,0–18,71
2011,6049,AIAN NH,19–34,61
2011,6049,AIAN NH,35–64,121
2011,6049,AIAN NH,65+,38
2011,6049,Asian NH,0–18,11
2011,6049,Asian NH,19–34,15
2011,6049,Asian NH,35–64,32
2011,6049,Asian NH,65+,16
2011,6049,Black NH,0–18,11
2011,6049,Black NH,19–34,26
2011,6049,Black NH,35–64,29
2011,6049,Black NH,65+,12
2011,6049,Hispanic,0–18,575
2011,6049,Hispanic,19–34,288
2011,6049,Hispanic,35–64,460
2011,6049,Hispanic,65+,75
2011,6049,MR NH,0–18,71
2011,6049,MR NH,19–34,42
2011,6049,MR NH,35–64,74
2011,6049,MR NH,65+,29
2011,6049,NHPI NH,0–18,4
2011,6049,NHPI NH,19–34,5
2011,6049,NHPI NH,35–64,10
2011,6049,NHPI NH,65+,4
2011,6049,White NH,0–18,1461
2011,6049,White NH,19–34,967
2011,6049,White NH,35–64,3241
2011,6049,White NH,65+,1730
2011,6051,AIAN NH,0–18,61
2011,6051,AIAN NH,19–34,40
2011,6051,AIAN NH,35–64,100
2011,6051,AIAN NH,65+,38
2011,6051,Asian NH,0–18,33
2011,6051,Asian NH,19–34,47
2011,6051,Asian NH,35–64,99
2011,6051,Asian NH,65+,17
2011,6051,Black NH,0–18,6
2011,6051,Black NH,19–34,20
2011,6051,Black NH,35–64,15
2011,6051,Black NH,65+,2
2011,6051,Hispanic,0–18,1457
2011,6051,Hispanic,19–34,1138
2011,6051,Hispanic,35–64,1140
2011,6051,Hispanic,65+,95
2011,6051,MR NH,0–18,104
2011,6051,MR NH,19–34,67
2011,6051,MR NH,35–64,70
2011,6051,MR NH,65+,13
2011,6051,NHPI NH,0–18,1
2011,6051,NHPI NH,19–34,3
2011,6051,NHPI NH,35–64,9
2011,6051,NHPI NH,65+,0
2011,6051,White NH,0–18,1451
2011,6051,White NH,19–34,2188
2011,6051,White NH,35–64,4712
2011,6051,White NH,65+,1317
2011,6053,AIAN NH,0–18,243
2011,6053,AIAN NH,19–34,313
2011,6053,AIAN NH,35–64,652
2011,6053,AIAN NH,65+,181
2011,6053,Asian NH,0–18,4487
2011,6053,Asian NH,19–34,4961
2011,6053,Asian NH,35–64,10928
2011,6053,Asian NH,65+,4099
2011,6053,Black NH,0–18,1766
2011,6053,Black NH,19–34,2515
2011,6053,Black NH,35–64,5861
2011,6053,Black NH,65+,1268
2011,6053,Hispanic,0–18,86933
2011,6053,Hispanic,19–34,67019
2011,6053,Hispanic,35–64,71521
2011,6053,Hispanic,65+,10244
2011,6053,MR NH,0–18,3898
2011,6053,MR NH,19–34,2324
2011,6053,MR NH,35–64,2674
2011,6053,MR NH,65+,509
2011,6053,NHPI NH,0–18,423
2011,6053,NHPI NH,19–34,520
2011,6053,NHPI NH,35–64,825
2011,6053,NHPI NH,65+,178
2011,6053,White NH,0–18,21080
2011,6053,White NH,19–34,25181
2011,6053,White NH,35–64,60273
2011,6053,White NH,65+,29375
2011,6055,AIAN NH,0–18,97
2011,6055,AIAN NH,19–34,95
2011,6055,AIAN NH,35–64,278
2011,6055,AIAN NH,65+,78
2011,6055,Asian NH,0–18,2127
2011,6055,Asian NH,19–34,1943
2011,6055,Asian NH,35–64,4102
2011,6055,Asian NH,65+,1070
2011,6055,Black NH,0–18,549
2011,6055,Black NH,19–34,538
2011,6055,Black NH,35–64,1151
2011,6055,Black NH,65+,249
2011,6055,Hispanic,0–18,16254
2011,6055,Hispanic,19–34,12207
2011,6055,Hispanic,35–64,14302
2011,6055,Hispanic,65+,2038
2011,6055,MR NH,0–18,1285
2011,6055,MR NH,19–34,619
2011,6055,MR NH,35–64,861
2011,6055,MR NH,65+,202
2011,6055,NHPI NH,0–18,81
2011,6055,NHPI NH,19–34,78
2011,6055,NHPI NH,35–64,140
2011,6055,NHPI NH,65+,31
2011,6055,White NH,0–18,12752
2011,6055,White NH,19–34,11565
2011,6055,White NH,35–64,35032
2011,6055,White NH,65+,17744
2011,6057,AIAN NH,0–18,183
2011,6057,AIAN NH,19–34,139
2011,6057,AIAN NH,35–64,377
2011,6057,AIAN NH,65+,107
2011,6057,Asian NH,0–18,192
2011,6057,Asian NH,19–34,211
2011,6057,Asian NH,35–64,598
2011,6057,Asian NH,65+,170
2011,6057,Black NH,0–18,91
2011,6057,Black NH,19–34,91
2011,6057,Black NH,35–64,143
2011,6057,Black NH,65+,27
2011,6057,Hispanic,0–18,3124
2011,6057,Hispanic,19–34,2174
2011,6057,Hispanic,35–64,2941
2011,6057,Hispanic,65+,601
2011,6057,MR NH,0–18,983
2011,6057,MR NH,19–34,529
2011,6057,MR NH,35–64,793
2011,6057,MR NH,65+,205
2011,6057,NHPI NH,0–18,27
2011,6057,NHPI NH,19–34,13
2011,6057,NHPI NH,35–64,49
2011,6057,NHPI NH,65+,12
2011,6057,White NH,0–18,15400
2011,6057,White NH,19–34,11964
2011,6057,White NH,35–64,38957
2011,6057,White NH,65+,19121
2011,6059,AIAN NH,0–18,1221
2011,6059,AIAN NH,19–34,1422
2011,6059,AIAN NH,35–64,2945
2011,6059,AIAN NH,65+,755
2011,6059,Asian NH,0–18,121693
2011,6059,Asian NH,19–34,125693
2011,6059,Asian NH,35–64,247608
2011,6059,Asian NH,65+,65966
2011,6059,Black NH,0–18,10172
2011,6059,Black NH,19–34,11625
2011,6059,Black NH,35–64,20439
2011,6059,Black NH,65+,3646
2011,6059,Hispanic,0–18,363503
2011,6059,Hispanic,19–34,278857
2011,6059,Hispanic,35–64,334777
2011,6059,Hispanic,65+,48639
2011,6059,MR NH,0–18,34781
2011,6059,MR NH,19–34,17782
2011,6059,MR NH,35–64,19182
2011,6059,MR NH,65+,4027
2011,6059,NHPI NH,0–18,2226
2011,6059,NHPI NH,19–34,2358
2011,6059,NHPI NH,35–64,3458
2011,6059,NHPI NH,65+,646
2011,6059,White NH,0–18,247355
2011,6059,White NH,19–34,248838
2011,6059,White NH,35–64,594732
2011,6059,White NH,65+,238689
2011,6061,AIAN NH,0–18,511
2011,6061,AIAN NH,19–34,417
2011,6061,AIAN NH,35–64,960
2011,6061,AIAN NH,65+,270
2011,6061,Asian NH,0–18,5662
2011,6061,Asian NH,19–34,3699
2011,6061,Asian NH,35–64,10230
2011,6061,Asian NH,65+,2602
2011,6061,Black NH,0–18,1122
2011,6061,Black NH,19–34,1058
2011,6061,Black NH,35–64,2011
2011,6061,Black NH,65+,452
2011,6061,Hispanic,0–18,18202
2011,6061,Hispanic,19–34,11346
2011,6061,Hispanic,35–64,15837
2011,6061,Hispanic,65+,3511
2011,6061,MR NH,0–18,6050
2011,6061,MR NH,19–34,2343
2011,6061,MR NH,35–64,3108
2011,6061,MR NH,65+,607
2011,6061,NHPI NH,0–18,163
2011,6061,NHPI NH,19–34,187
2011,6061,NHPI NH,35–64,337
2011,6061,NHPI NH,65+,64
2011,6061,White NH,0–18,59763
2011,6061,White NH,19–34,43351
2011,6061,White NH,35–64,114398
2011,6061,White NH,65+,49217
2011,6063,AIAN NH,0–18,128
2011,6063,AIAN NH,19–34,78
2011,6063,AIAN NH,35–64,202
2011,6063,AIAN NH,65+,57
2011,6063,Asian NH,0–18,27
2011,6063,Asian NH,19–34,22
2011,6063,Asian NH,35–64,59
2011,6063,Asian NH,65+,21
2011,6063,Black NH,0–18,41
2011,6063,Black NH,19–34,80
2011,6063,Black NH,35–64,58
2011,6063,Black NH,65+,12
2011,6063,Hispanic,0–18,589
2011,6063,Hispanic,19–34,382
2011,6063,Hispanic,35–64,570
2011,6063,Hispanic,65+,156
2011,6063,MR NH,0–18,241
2011,6063,MR NH,19–34,108
2011,6063,MR NH,35–64,193
2011,6063,MR NH,65+,60
2011,6063,NHPI NH,0–18,2
2011,6063,NHPI NH,19–34,5
2011,6063,NHPI NH,35–64,10
2011,6063,NHPI NH,65+,3
2011,6063,White NH,0–18,2796
2011,6063,White NH,19–34,2282
2011,6063,White NH,35–64,7705
2011,6063,White NH,65+,4064
2011,6065,AIAN NH,0–18,3025
2011,6065,AIAN NH,19–34,2530
2011,6065,AIAN NH,35–64,4452
2011,6065,AIAN NH,65+,1251
2011,6065,Asian NH,0–18,30049
2011,6065,Asian NH,19–34,31530
2011,6065,Asian NH,35–64,56720
2011,6065,Asian NH,65+,14236
2011,6065,Black NH,0–18,38303
2011,6065,Black NH,19–34,30168
2011,6065,Black NH,35–64,53859
2011,6065,Black NH,65+,12389
2011,6065,Hispanic,0–18,393557
2011,6065,Hispanic,19–34,260025
2011,6065,Hispanic,35–64,322031
2011,6065,Hispanic,65+,51102
2011,6065,MR NH,0–18,24782
2011,6065,MR NH,19–34,11422
2011,6065,MR NH,35–64,11598
